Index,Singer,Song,Lyrics,Collected By
1,Bruno Mars,24 K Magic,"Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
Twenty four karat magic in the air
Head to toe so player
Look out uh
Pop pop, it's show time (show time)
Show time (show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (whoop, whoop)
Don't look too hard might hurt ya'self
Known to give the color red the blues
Oh shit, I'm a dangerous man with some money in my pocket (keep up)
So many pretty girls around me and they waking up the rocket (keep up)
Why you mad, fix ya face, ain't my fault y'all be jocking (keep up)
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
Twenty four karat magic in the air
Head to toe so player
Uh, look out!
Second verse for the hustlas (hustlas) gangstas (gangstas)
Bad bitches and ya ugly ass friends (haha)
Can I preach? (uh oh) can I preach? (uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (whoop, whoop)
We too fresh
Got to blame in on Jesus
Hashtag blessed, they ain't ready for me
I'm a dangerous man with some money in my pocket (keep up)
So many pretty girls around me and they waking up the rocket (keep up)
Why you mad, fix ya face, ain't my fault y'all be jocking (keep up)
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do? (What y'all trying to do?)
Twenty four karat magic in the air
Head to toe so player
Uh, look out!
everywhere I go they be like
Ooh, so player
Everywhere I go they be like (ooh, so player ooh)
Oh everywhere I go they be like (ooh, so player ooh)
Now, now, now watch me break it down like (uh)
Twenty four karat, twenty four karat magic
What's that sound (twenty four karat, twenty four karat magic)
Come on now
Twenty four karat, twenty four karat magic
Don't fight the feeling, invite the feeling
Just put your pinky rings up to the moon
Girls, what y'all trying to do? (Tell me what y'all trying to do)
Twenty four karat magic in the air
Head to toe so player (hands up!)
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
Twenty four karat magic in the air
Head to toe so player (twenty four karat) uh, look out
",Ishita
2,Taylor Swift,Wildest Dreams,"He said, ""Let's get out of this town
Drive out of the city, away from the crowds""
I thought heaven can't help me now
Nothing lasts forever, but this is gonna take me down
He's so tall and handsome as hell
He's so bad but he does it so well
I can see the end as it begins
My one condition is
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your wildest dreams, ah-ha
Wildest dreams, ah-ha
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever but this is getting good now
He's so tall and handsome as hell
He's so bad but he does it so well
And when we've had our very last kiss
My last request it is
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your wildest dreams, ah-ha
Wildest dreams, ah-ha
You'll see me in hindsight
Tangled up with you all night
Burnin' it down
Someday when you leave me
I bet these memories
Follow you around
You'll see me in hindsight
Tangled up with you all night
Burnin' it down
Someday when you leave me
I bet these memories
Follow you around
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend
Say you'll remember me standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (Just pretend, just pretend)
Wildest dreams, ah-ha
In your wildest dreams, ah-ha
(Even if it's just in your)
In your wildest dreams, ah-ha
In your wildest dreams, ah-ha",Ishita
3,Green Day,Numb,"I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
Don't know what you're expecting of me
Put under the pressure of walking in your shoes
Every step that I take is another mistake to you
(Caught in the undertow, just caught in the undertow)
I've become so numb
I can't feel you there
Become so tired
So much more aware
I'm becoming this
All I want to do
Is be more like me
And be less like you
Can't you see that you're smothering me
Holding too tightly, afraid to lose control?
'Cause everything that you thought I would be
Has fallen apart right in front of you
Every step that I take is another mistake to you
(Caught in the undertow, just caught in the undertow)
And every second I waste is more than I can take
I've become so numb
I can't feel you there
Become so tired
So much more aware
I'm becoming this
All I want to do
Is be more like me
And be less like you
And I know
I may end up failing too
But I know
You were just like me with someone disappointed in you
I've become so numb
I can't feel you there
Become so tired
So much more aware
I'm becoming this
All I want to do
Is be more like me
And be less like you
I've become so numb
I can't feel you there
(I'm tired of being what you want me to be)
I've become so numb
I can't feel you there
(I'm tired of being what you want me to be)",Ishita
4,Macklemore,Glorius,"You know I'm back like I never left
Another sprint, another step
Another day, another breath
Been chasing dreams, but I never slept
I got a new attitude and a lease on life
And some peace of mind
Seek and I find I can sleep when I die
Wanna piece of the pie, grab the keys to the ride
And shit I'm straight
I'm on my wave, I'm on my wave
Get out my wake, I'm running late, what can I say?
I heard you die twice, once when they bury you in the grave
And the second time is the last time that somebody mentions your name
So when I leave here on this earth, did I take more than I gave?
Did I look out for the people or did I do it all for fame?
Legend it's exodus searching for euphoria
Trudging through the mud to find the present, no ignoring us
Got 20, 000 deep off in the street like we some warriors
My mama told me never bow your head, woo!
I feel glorious, glorious
Got a chance to start again
I was born for this, born for this
It's who I am, how could I forget?
I made it through the darkest part of the night
And now I see the sunrise
Now I feel glorious, glorious
I feel glorious, glorious
I'm feeling glorious
The crib looking Victorian (oh yes it is)
You know that we been going in
Since we hopped out that Delorean (Delorean, yeah we win)
En garde, things are just things
They don't make you who you are
Can't pack up a U-Haul and take it with you when you're gone
We posted on the porch, my family's glasses to the stars
My grandma smiling down on me like woo, that boy got bars
Okay, okay, yes I do
I said amen and hallelujah, let me testify too
Another morning, a morning, don't let self get in my way
I got my breath, I got my faith and I remember why I came
I feel glorious, glorious
Got a chance to start again
I was born for this, born for this
It's who I am, how could I forget?
I made it through the darkest part of the night
And now I see the sunrise
Now I feel glorious, glorious
I feel glorious, glorious
We gon' be alright, put that on my life
When I open my eyes, hope I see you shine
We're planting a flag they don't understand
The world is up for grabs
We gon' be alright, put that on my life
When I open my eyes, hope I see you shine
We're planting a flag they don't understand
The world is up for grabs
I feel glorious, glorious
Got a chance to start again
I was born for this, born for this
It's who I am, how could I forget?
I made it through the darkest part of the night
And now I see the sunrise
Now I feel glorious, glorious
I feel glorious, glorious",Ishita
5,Ariana Grande,POV,"It's like you got superpowers
Turn my minutes into hours
You got more than 20-20, babe
Made of glass the way you see through me
You know me better than I do
Can't seem to keep nothing from you
How you touch my soul from the outside?
Permeate my ego and my pride
I wanna love me (ooh)
The way that you love me (ooh)
Ooh, for all of my pretty
And all of my ugly too
I'd love to see me from your point of view
I wanna trust me (trust me)
The way that you trust me (trust me)
Ooh, 'cause nobody ever loved me like you do
I'd love to see me from your point of view
I'm gеtting used to receiving
Still gеtting good at not leaving
I'ma love you even though I'm scared (oh, scared)
Learnin' to be grateful for myself (oh, oh, oh)
You love my lips 'cause they say the
Things we've always been afraid of
I can feel it startin' to subside
Learnin' to believe in what is mine
I wanna love me (ooh)
The way that you love me (ooh)
Ooh, for all of my pretty
And all of my ugly too
I'd love to see me from your point of view
I wanna trust me (trust me)
The way that you trust me (trust me)
Ooh, 'cause nobody ever loved me like you do
I'd love to see me from your point of view
I couldn't believe it or see it for myself
Boy, I be impatient, but now I'm out here
Fallin', fallin', frozen, slowly
Fallin', got me right
I won't keep you waitin' (waitin')
All my baggage fadin' safely (my baggage fadin')
And if my eyes deceive me
Won't let them stray too far away, I
I wanna love me (ooh)
The way that you love me (ooh)
Ooh, for all of my pretty
And all of my ugly too
I'd love to see me from your point of view
I wanna trust me, ooh (trust me)
The way that you trust me, baby (trust me)
'Cause nobody ever loved me like you do
I'd love to see me from your point of view (oh)
Yeah",Ishita
6,Lorde,Royals,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn up town, no postcode envy
But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care
We're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair
And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy
My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this, we didn't come from money
But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care
We're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair
And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy
Oh
Oh (oh, oh)
We're bigger than we ever dreamed
And I'm in love with being queen
Oh
Oh (oh, oh)
Life is great without a care
We aren't caught up in your love affair
And we'll never be royals (royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy",Ishita
7,Eminem,Space Bound,"We touch, I feel a rush, we clutch, it isn't much
But it's enough to make me wonder what's in store for us
It's lust, it's torturous, you must be a sorceress
'Cause you just did the impossible, gained my trust
Don't play games, it'd be dangerous if you fuck me over
'Cause if I get burnt, I'ma show ya what it's like to hurt
'Cause I've been treated like dirt befo' ya
And love is evol, spell it backwards, I'll show ya
Nobody knows me, I'm cold, walk down this road all alone
It's no one's fault but my own, it's the path I've chosen to go
Frozen as snow, I show no emotion whatsoever, so
Don't ask me why I have no love for these mo'fuckin' ho's
Blood suckin' succubuses, what the fuck is up with this?
I've tried in this department, but I ain't had no luck with this
It sucks, but it's exactly what I thought it would be
Like tryin' to start over
I've got a hole in my heart for some kind of emotional roller coaster
Somethin' I won't go on, so you toy with my emotions, ho, it's over
It's like an explosion every time I hold ya, I wasn't jokin' when I told ya
You take my breath away, you're a supernova and I'm a
I'm a space bound rocket ship and your heart's the moon
And I'm aimin' right at you, right at you
250, 000 miles on a clear night in June
And I'm aimin' right at you, right at you, right at you
I'll do whatever it takes, when I'm with you I get the shakes
My body aches when I ain't with you I have zero strength
There's no limit on how far I would go, no boundaries, no lengths
Why do we say that until we get that person that we thinks
Gonna be that one and then once we get 'em, it's never the same?
You want 'em when they don't want you
Soon as they do, feelings change
It's not a contest and I ain't on no conquest for no mate
I wasn't lookin' when I stumbled onto you, musta been fate
But so much is at stake, what the fuck does it take?
Let's cut to the chase
'Fore the door shuts in your face, promise me if I cave in and break
And leave myself open that I won't be makin' a mistake
'Cause I'm a
I'm a space bound rocket ship and your heart's the moon
And I'm aimin' right at you, right at you
250, 000 miles on a clear night in June
And I'm aimin' right at you, right at you, right at you
So after a year and six months, it's no longer me that you want
But I love you so much it hurts, never mistreated you once
I'll pour my heart out to you, let down my guard, swear to God
I'll blow my brains in your lap, lay here and die in your arms
Drop to my knees and I'm pleadin', I'm tryin' to stop you from leavin'
You won't even listen so fuck it, I'm tryin' to stop you from breathin'
I put both hands on your throat, I sit on top of you, squeezin'
Till I snap your neck like a Popsicle stick
Ain't a possible reason I can think of
To let you walk up out this house and let you live
Tears stream down both of my cheeks, then I let you go and just give
And before I put that gun to my temple, I told you this
And I would've did anything for you to show you how much I adored you
But it's over now, it's too late to save our love
Just promise me you'll think of me
Every time you look up in the sky and see a star 'cause I'm a
I'm a space bound rocket ship and your heart's the moon
And I'm aimin' right at you, right at you
250, 000 miles on a clear night in June
And I'm so lost without you, without you, without you",Ishita
8,Ariana Grande,Stuck With You,"Mmm
Hey, yeah
(That's just for fun)
(What?)
I'm not one to stick around
One strike and you're out, baby
Don't care if I sound crazy
But you never let me down, no, no
That's why when the sun's up, I'm stayin'
Still layin' in your bed, singin'
Ooh, ooh, ooh, ooh
Got all this time on my hands
Might as well cancel our plans, yeah
I could stay here for a lifetime
So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change being stuck with you
Stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you, baby
There's nowhere we need to be
No, no, no
I'ma get to know you better
Kinda hope we're here forever
There's nobody on these streets
If you told me that the world's ending
Ain't no other way that I could spend it
Oh, oh, oh, oh
Got all this time in my hands
Might as well cancel our plans (yeah)
I could stay here forever
So lock the door
And throw out the key
Can't fight this no more
It's just you and me
And there's nothing I, nothing I, I can do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change being stuck with you
Stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you
Whoa, whoa, oh
Baby, come take all my time
Go on, make me lose my mind
We got all that we need here tonight
I lock the door (lock the door)
And throw out the key
Can't fight this no more (can't fight this no more)
It's just you and me
And there's nothing I, nothing I'd rather do
I'm stuck with you, stuck with you, stuck with you
So go ahead and drive me insane
Baby, run your mouth
I still wouldn't change
All this lovin' you, hatin' you, wantin' you
I'm stuck with you, stuck with you, stuck with
You
Stuck with you, stuck with you, stuck with you",Ishita
9,Green Day,Boulevard Of Broken Dreams,"I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me, and I walk alone
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk alone
I walk alone, I walk alone
I walk alone, I walk a-
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes, I wish someone out there will find me
'Til then, I walk alone
Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah
I'm walking down the line
That divides me somewhere in my mind
On the borderline
Of the edge, and where I walk alone
Read between the lines
What's fucked up, and everything's alright
Check my vital signs
To know I'm still alive, and I walk alone
I walk alone, I walk alone
I walk alone, I walk a-
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes, I wish someone out there will find me
'Til then, I walk alone
Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, I walk alone, I walk a-
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk a-
My shadow's the only one that walks beside me
My shallow heart's the only thing that's beating
Sometimes, I wish someone out there will find me
'Til then, I walk alone",Ishita
10,Shawn Mendes,Mercy,"You've got a hold of me
Don't even know your power
I stand a hundred feet
But I fall when I'm around ya
Show me an open door
Then you go and slam it on me
I can't take anymore
I'm saying, baby
Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy, mercy on my heart?
Would you please have mercy, mercy on my heart?
I'd drive through the night
Just to be near you, baby
Heart open, testify
Tell me that I'm not crazy
I'm not asking for a lot
Just that you're honest with me
My pride is all I got
I'm saying, baby
Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me
I'm a puppet on your strings
And even though you got good intentions
I need you to set me free
Would you please have mercy, mercy on my heart?
Would you please have mercy, mercy on my heart?
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Oh, please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me?
I'm a puppet on your string
And even though you got good intentions
I need you to set me free
I'm begging you for mercy, mercy
I'm begging you, begging you, please, baby
I'm begging you for mercy, mercy
Ooh, I'm begging you, I'm begging you, yeah",Ishita
